"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
10.76,0.464585173421,10.76,1.13781585857
10.78,0.26865354949,10.78,1.02585493061
10.8,-0.0952194663834,10.8,0.913894002647
10.82,0.32463401347,10.82,0.885903770657
10.84,-0.235170626335,10.84,0.661981914735
10.86,-0.431102250266,10.86,0.550020986774
10.88,-0.319141322305,10.88,0.773942842696
10.9,-0.0672292343932,10.9,0.298108898862
10.92,-1.52272129789,10.92,0.270118666872
10.94,-0.431102250266,10.94,0.326099130852
10.96,-0.711004570169,10.96,-0.065764117011
10.98,-1.15884828201,10.98,-0.177725044972
11,-0.85095573012,11,-0.205715276962
11.02,-1.24281897798,11.02,-0.345666436913
11.04,-1.24281897798,11.04,-0.541598060845
11.06,-1.21482874599,11.06,-0.373656668904
11.08,-1.35477990594,11.08,-0.933461308708
11.1,-1.60669199386,11.1,-0.485617596864
11.12,-1.55071152988,11.12,-0.849490612737
11.14,-1.01889712206,11.14,-0.793510148757
11.16,-1.10286781803,11.16,-1.04542223667
11.18,-1.66267245784,11.18,-0.933461308708
11.2,-1.80262361779,11.2,-1.15738316463
11.22,-1.99855524172,11.22,-1.21336362861
11.24,-2.16649663366,11.24,-1.32532455657
11.26,-1.7746333858,11.26,-1.43728548453
11.28,-1.94257477774,11.28,-1.5212561805
11.3,-2.0545357057,11.3,-1.5212561805
11.32,-1.94257477774,11.32,-0.961451540698
11.34,-1.99855524172,11.34,-1.63321710846
11.36,-2.13850640167,11.36,-1.35331478856
11.38,-1.83061384978,11.38,-1.94110966036
11.4,-1.85860408177,11.4,-1.66120734045
11.42,-1.83061384978,11.42,-1.57723664448
11.44,-2.08252593769,11.44,-1.8291487324
11.46,-1.35477990594,11.46,-1.74517803642
11.48,-2.25046732963,11.48,-1.66120734045
11.5,-1.49473106589,11.5,-1.68919757244
11.52,-1.71865292182,11.52,-1.60522687647
11.54,-1.85860408177,11.54,-1.5212561805
11.56,-1.80262361779,11.56,-1.71718780443
11.58,-1.27080920997,11.58,-1.21336362861
11.6,-1.41076036992,11.6,-1.38130502055
11.62,-1.41076036992,11.62,-1.18537339662
11.64,-0.9069361941,11.64,-1.5212561805
11.66,-0.990906890071,11.66,-1.18537339662
11.68,-0.85095573012,11.68,-0.961451540698
11.7,-0.85095573012,11.7,-1.12939293264
11.72,-0.822965498129,11.72,-1.01743200468
11.74,-0.962916658081,11.74,-0.961451540698
11.76,-0.87894596211,11.76,-0.905471076718
11.78,-0.347131554295,11.78,-0.709539452786
11.8,-0.123209698374,11.8,-0.765519916767
11.82,0.072721925558,11.82,-0.513607828855
