"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
4.98,-1.13085805002,4.98,2.2014446742
5,-1.69066268983,5,2.25742513818
5.02,-1.71865292182,5.02,2.06149351425
5.04,-1.85860408177,5.04,2.06149351425
5.06,-1.85860408177,5.06,1.94953258629
5.08,-2.02654547371,5.08,2.03350328226
5.1,-1.99855524172,5.1,1.86556189032
5.12,-2.39041848958,5.12,2.17345444221
5.14,-2.41840872157,5.14,1.72561073036
5.16,-2.67032080948,5.16,1.3337474825
5.18,-2.39041848958,5.18,1.55766933842
5.2,-2.55835988152,5.2,1.30575725051
5.22,-2.64233057749,5.22,1.3337474825
5.24,-2.81027196944,5.24,1.27776701852
5.26,-2.67032080948,5.26,1.08183539459
5.28,-2.67032080948,5.28,1.24977678653
5.3,-2.78228173745,5.3,0.773942842696
5.32,-2.6143403455,5.32,0.717962378715
5.34,-2.58635011351,5.34,0.494040522794
5.36,-2.64233057749,5.36,0.214138202891
5.38,-2.72630127347,5.38,0.242128434882
5.4,-2.36242825759,5.4,0.0741870429402
5.42,-2.67032080948,5.42,-0.0377738850208
5.44,-2.36242825759,5.44,-0.429637132884
5.46,-2.47438918555,5.46,-0.597578524825
5.48,-2.02654547371,5.48,-0.513607828855
5.5,-2.39041848958,5.5,-0.989441772689
5.52,-1.55071152988,5.52,-0.877480844728
5.54,-1.99855524172,5.54,-1.5212561805
5.56,-1.85860408177,5.56,-0.989441772689
5.58,-1.69066268983,5.58,-1.12939293264
5.6,-1.41076036992,5.6,-1.71718780443
5.62,-1.43875060191,5.62,-2.22101198026
5.64,-1.27080920997,5.64,-2.30498267623
5.66,-0.711004570169,5.66,-2.30498267623
5.68,-1.04688735405,5.68,-1.63321710846
5.7,-0.263160858325,5.7,-2.13704128429
5.72,-1.04688735405,5.72,-1.96909989235
5.74,-0.291151090315,5.74,-2.19302174827
5.76,-0.151199930364,5.76,-2.1090510523
5.78,-0.0952194663834,5.78,-2.24900221225
5.8,-0.263160858325,5.8,-2.27699244424
5.82,0.520565637402,5.82,-2.22101198026
5.84,0.29664378148,5.84,-2.27699244424
5.86,0.100712157548,5.86,-2.33297290822
5.88,0.716497261333,5.88,-2.27699244424
5.9,0.856448421284,5.9,-2.13704128429
5.92,0.968409349245,5.92,-1.94110966036
5.94,1.47223352507,5.94,-2.02508035633
5.96,1.13635074119,5.96,-1.96909989235
5.98,1.64017491701,5.98,-1.60522687647
6,1.89208700492,6,-1.99709012434
6.02,1.55620422104,6.02,-1.63321710846
6.04,1.83610654094,6.04,-1.74517803642
6.06,1.86409677293,6.06,-1.8291487324
6.08,1.75213584497,6.08,-2.05307058832
6.1,1.668165149,6.1,-1.63321710846
6.12,2.06002839686,6.12,-0.793510148757
6.14,2.28395025279,6.14,-1.18537339662
6.16,2.33993071677,6.16,-2.41694360419
6.18,2.50787210871,6.18,-1.21336362861
6.2,2.33993071677,6.2,-0.709539452786
6.22,2.33993071677,6.22,-0.737529684777
6.24,2.2559600208,6.24,-0.737529684777
6.26,2.2559600208,6.26,-0.429637132884
6.28,2.14399909284,6.28,-0.233705508952
6.3,2.17198932483,6.3,0.0461968109499
6.32,2.11600886084,6.32,-0.261695740943
6.34,2.36792094876,6.34,-0.00978365303054
6.36,2.08801862885,6.36,-0.149734812982
6.38,1.86409677293,6.38,0.410069826823
6.4,1.83610654094,6.4,0.298108898862
6.42,1.86409677293,6.42,0.410069826823
6.44,2.00404793288,6.44,0.633991682745
6.46,1.58419445303,6.46,0.661981914735
6.48,1.36027259711,6.48,1.02585493061
6.5,1.44424329308,6.5,0.857913538667
6.52,1.13635074119,6.52,1.0538451626
6.54,0.828458189294,6.54,1.38972794648
6.56,0.912428885265,6.56,1.3337474825
6.58,0.744487493324,6.58,1.19379632255
6.6,0.716497261333,6.6,1.6136498024
6.62,0.184682853519,6.62,1.86556189032
6.64,0.632526565363,6.64,1.75360096235
6.66,0.100712157548,6.66,1.83757165832
6.68,0.35262424546,6.68,1.72561073036
6.7,-0.655024106188,6.7,1.97752281828
6.72,-0.319141322305,6.72,1.86556189032
